Date : 2025-04-06 17:17:41
Directory : /media/jian/ssd4t/zero/zero/expAugmentation
Total : 113 files,  23174 codes, 1985 comments, 3752 blanks, all 28911 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/default.py                                                   | Python   |         59 |          4 |         22 |         85 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/eval.yaml                                                    | YAML     |         28 |          3 |          9 |         40 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/expBase_Lotus.yaml                                           | YAML     |        114 |         16 |         14 |        144 |
| /media/jian/ssd4t/zero/zero/expAugmentation/config/expbase_origin.yaml                                          | YAML     |        116 |         35 |         21 |        172 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_DA3D.py                                             | Python   |        242 |         25 |         52 |        319 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_DP_use_obsprocessor.py                              | Python   |        119 |         11 |         28 |        158 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_FK.py                                               | Python   |        279 |         30 |         68 |        377 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_expbase_DP.py                                       | Python   |        345 |         56 |         79 |        480 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_expbase_voxel_augment _use_perceptor.py             | Python   |        346 |         71 |         88 |        505 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_expbase_voxel_augment.py                            | Python   |        345 |         72 |         89 |        506 |
| /media/jian/ssd4t/zero/zero/expAugmentation/dataset/dataset_origin.py                                           | Python   |        387 |         43 |         78 |        508 |
| /media/jian/ssd4t/zero/zero/expAugmentation/eval_DP_PTV3.py                                                     | Python   |        337 |         36 |         82 |        455 |
| /media/jian/ssd4t/zero/zero/expAugmentation/eval_LongHorizon.py                                                 | Python   |        481 |         42 |        107 |        630 |
| /media/jian/ssd4t/zero/zero/expAugmentation/eval_expbase.py                                                     | Python   |        490 |         38 |        102 |        630 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/Base/BaseAll.py                                              | Python   |         41 |          0 |         13 |         54 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/Policy.py                                               | Python   |        484 |         88 |        101 |        673 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/components/clip.py                                      | Python   |         34 |          1 |          9 |         44 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/components/layers.py                                    | Python   |        415 |         15 |         60 |        490 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/components/multihead_custom_attention.py                | Python   |        401 |         18 |         49 |        468 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/components/position_encodings.py                        | Python   |        112 |          0 |         32 |        144 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DAFC/components/resnet.py                                    | Python   |         49 |          1 |         11 |         61 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/Policy.py                                    | Python   |        487 |         88 |        107 |        682 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/Policy_significant_change.py                 | Python   |        487 |         88 |        107 |        682 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/components/clip.py                           | Python   |         34 |          1 |          9 |         44 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/components/layers.py                         | Python   |        415 |         15 |         58 |        488 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/components/multihead_custom_attention.py     | Python   |        401 |         18 |         49 |        468 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/components/position_encodings.py             | Python   |        112 |          0 |         32 |        144 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D/components/resnet.py                         | Python   |         49 |          1 |         11 |         61 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/DiffuserActor3D_original.py/policy.py                        | Python   |        553 |         49 |         68 |        670 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/FK/Policy.py                                                 | Python   |        342 |         46 |        110 |        498 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/FK/component/ddpm.py                                         | Python   |         39 |          1 |         14 |         54 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/FK/component/ddpm_copy.py                                    | Python   |         77 |          3 |         22 |        102 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/FK/component/test.py                                         | Python   |          5 |          0 |          4 |          9 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/model.py                            | Python   |        946 |         56 |        107 |      1,109 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/model_ca.py                         | Python   |        399 |         18 |         39 |        456 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/serialization/__init__.py           | Python   |          8 |          0 |          1 |          9 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/serialization/default.py            | Python   |         46 |          1 |         13 |         60 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/serialization/hilbert.py            | Python   |        190 |         42 |         72 |        304 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/PointTransformerV3/serialization/z_order.py            | Python   |         96 |          6 |         25 |        127 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/__init__.py                                            | Python   |          0 |          0 |          1 |          1 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/base.py                                                | Python   |         64 |          0 |         16 |         80 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/__init__.py                                      | Python   |          6 |          0 |          2 |          8 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/adamw.py                                         | Python   |         81 |         13 |         20 |        114 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/lookahead.py                                     | Python   |         81 |          7 |         10 |         98 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/misc.py                                          | Python   |         49 |          1 |          7 |         57 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/radam.py                                         | Python   |        148 |          4 |         58 |        210 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/ralamb.py                                        | Python   |         71 |          6 |         23 |        100 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/rangerlars.py                                    | Python   |          8 |          3 |          4 |         15 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/optim/sched.py                                         | Python   |         95 |          2 |         17 |        114 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/test_model_expbase.py                                  | Python   |        220 |         19 |         49 |        288 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/utils/action_position_utils.py                         | Python   |         68 |         36 |         13 |        117 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/utils/point_cloud.py                                   | Python   |         34 |          1 |         13 |         48 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/utils/rlbench_keystep_detection.py                     | Python   |         37 |          1 |         10 |         48 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/utils/robot_box.py                                     | Python   |         73 |          0 |         16 |         89 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/clean/utils/rotation_transform.py                            | Python   |        158 |          9 |         30 |        197 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/model.py                  | Python   |        946 |         56 |        107 |      1,109 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/model_ca.py               | Python   |        399 |         18 |         39 |        456 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/serialization/__init__.py | Python   |          8 |          0 |          1 |          9 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/serialization/default.py  | Python   |         46 |          1 |         13 |         60 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/serialization/hilbert.py  | Python   |        190 |         42 |         72 |        304 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/PointTransformerV3/serialization/z_order.py  | Python   |         96 |          6 |         25 |        127 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/diffusion/conditional_unet1d.py              | Python   |        182 |         10 |         37 |        229 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/diffusion/conditionalunet2d.py               | Python   |        183 |          8 |         45 |        236 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/diffusion/conv2d_components.py               | Python   |         75 |          9 |         31 |        115 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/components/diffusion/pe.py                              | Python   |         15 |          0 |          4 |         19 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/dp2d/ptv3_DP1d_policy.py                                     | Python   |        163 |         28 |         51 |        242 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/model.py                            | Python   |        946 |         56 |        107 |      1,109 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/model_ca.py                         | Python   |        399 |         18 |         39 |        456 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/serialization/__init__.py           | Python   |          8 |          0 |          1 |          9 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/serialization/default.py            | Python   |         46 |          1 |         13 |         60 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/serialization/hilbert.py            | Python   |        190 |         42 |         72 |        304 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/PointTransformerV3/serialization/z_order.py            | Python   |         96 |          6 |         25 |        127 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/__init__.py                                            | Python   |          0 |          0 |          1 |          1 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/task_new_keystep_ids.json                       | JSON     |        113 |          0 |          1 |        114 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_instructions_new.json                  | JSON     |        594 |          0 |          0 |        594 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_instructions_peract.json               | JSON     |      1,583 |          0 |          0 |      1,583 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_peract.json                            | JSON     |        251 |          0 |          0 |        251 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_target_label_zrange.json               | JSON     |      1,968 |          0 |          3 |      1,971 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_test_l2.json                           | JSON     |         30 |          0 |          1 |         31 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_test_l3.json                           | JSON     |         23 |          0 |          0 |         23 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_test_l4.json                           | JSON     |         14 |          0 |          0 |         14 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/assets/taskvars_train.json                             | JSON     |         33 |          0 |          0 |         33 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/base.py                                                | Python   |         64 |          0 |         16 |         80 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/model_expbase.py                                       | Python   |        604 |         46 |         78 |        728 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/__init__.py                                      | Python   |          6 |          0 |          2 |          8 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/adamw.py                                         | Python   |         81 |         13 |         20 |        114 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/lookahead.py                                     | Python   |         81 |          7 |         10 |         98 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/misc.py                                          | Python   |         49 |          1 |          7 |         57 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/radam.py                                         | Python   |        148 |          4 |         58 |        210 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/ralamb.py                                        | Python   |         71 |          6 |         23 |        100 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/rangerlars.py                                    | Python   |          8 |          3 |          4 |         15 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/optim/sched.py                                         | Python   |         95 |          2 |         17 |        114 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/policy.py                                              | Python   |          0 |          0 |          1 |          1 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/utils/action_position_utils.py                         | Python   |         68 |        120 |         24 |        212 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/utils/point_cloud.py                                   | Python   |         34 |          1 |         13 |         48 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/utils/rlbench_keystep_detection.py                     | Python   |         37 |          1 |         10 |         48 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/utils/robot_box.py                                     | Python   |         45 |         35 |         18 |         98 |
| /media/jian/ssd4t/zero/zero/expAugmentation/models/lotus/utils/rotation_transform.py                            | Python   |        158 |          9 |         30 |        197 |
| /media/jian/ssd4t/zero/zero/expAugmentation/trainer_DA3D.py                                                     | Python   |        100 |         30 |         35 |        165 |
| /media/jian/ssd4t/zero/zero/expAugmentation/trainer_DP.py                                                       | Python   |        119 |         30 |         36 |        185 |
| /media/jian/ssd4t/zero/zero/expAugmentation/trainer_FK.py                                                       | Python   |        102 |         32 |         35 |        169 |
| /media/jian/ssd4t/zero/zero/expAugmentation/trainer_expbase.py                                                  | Python   |        243 |         54 |         58 |        355 |
| /media/jian/ssd4t/zero/zero/expAugmentation/visualization.py                                                    | Python   |          1 |          0 |          1 |          2 |
| Total                                                                                                           |          |     23,174 |      1,985 |      3,752 |     28,911 |
+-----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
